,accuracy,classifier,f1score,model,precision,recall,train_size
0,0.04805163758068372,svm,[0.034264594629886715],baseline,[0.05135256585837019],[0.04805163758068372],10
1,0.08523044971643103,svm,[0.08253499164804798],baseline,[0.16447083025203463],[0.08523044971643103],40
2,0.20832325187515122,svm,[0.20783688245152315],baseline,[0.30441495987352263],[0.20832325187515122],160
3,0.3338367312694018,svm,[0.3437514689873606],baseline,[0.43368204538293453],[0.3338367312694018],640
4,0.37113937191798596,svm,[0.3997467529498054],baseline,[0.4675179367646775],[0.37113937191798596],1000
5,0.46267024555124764,svm,[0.4559567578569644],baseline,[0.4740838783393558],[0.46267024555124764],2500
6,0.10933142083034504,ET,[0.02785423527616281],baseline,[0.021654801187619043],[0.1107657980715595],10
7,0.15432542535346275,ET,[0.11790634051805027],baseline,[0.23547672059279554],[0.15352663950794793],40
8,0.22614726994112427,ET,[0.16041284274855702],baseline,[0.28508288893577693],[0.2258246632792967],160
9,0.3525463545599463,ET,[0.30038015261221196],baseline,[0.3999758519017023],[0.3524624549039349],640
10,0.39700666147590624,ET,[0.34498660742144527],baseline,[0.4108860882348373],[0.3944977939268103],1000
11,0.43871160155085,ET,[0.3858148383314058],baseline,[0.44974930724284],[0.44328462073764785],2500
