liefde	sex	6.77
tijger	kat	7.35
tijger tijger	10.00
boek	document	7.46
computer	toetsenbord	7.62
computer	internet	7.58
vliegtuig	auto	5.77
trein auto	6.31
telefoon	communicatie	7.50
televisie	radio	6.77
media	radio	7.42
drug	misbruik	6.85
brood	boter	6.19
komkommer aardappel	5.92
arts	verpleegster	7.00
professor	doctor	6.62
student	professor	6.81
slim	student	4.62
slim dom 5.81
bedrijf	aandelen	7.08
aandelen	markt	8.08
aandelen	telefoon	1.62
aandelen	CD	1.31
aandelen	jaguar	0.92
aandelen ei	1.81
vruchtbaarheid ei	6.69
aandelen	live	3.73
aandelen	leven	0.92
boek bibliotheek	7.46
bank	geld 8.12
hout	bos	7.73
geld	cash	9.15
professor	komkommer	0.31
koning	kool	0.23
koning	koningin	8.58
koning	kasteel	5.92
bisschop	rabbi	6.69
Jerusalem	Israel	8.46
Jerusalem	Palestina	7.65
heilig	seks	1.62
neuken	seks	9.44
Maradona	voetbal	8.62
voetbal basketbal	6.81
voetbal	tennis	6.63
tennis	racket	7.56
Arafat	vrede	6.73
Arafat	terror	7.65
Arafat	Jackson	2.50
wet	advocaat	8.38
film	ster	7.38
film popcorn	6.19
film	theater	7.92
fysica proton	8.12
natuurkunde scheikunde 7.35
ruimte chemie	4.88
alcohol	chemistry	5.54
vodka	gin	8.46
vodka	brandy	8.13
drank	auto	3.04
drank	oor	1.31
drank	mond	5.96
drank	eten	6.87
baby	moeder	7.85
drank	moeder	2.65
wagen auto	8.94
edelsteen	juweel	8.96
reis	tocht	9.29
jongen	knaap	8.83
kust	wal	9.10
goochelaar tovenaar	9.02
oven	fornuis	8.79
eten	fruit	7.52
vogel	haan	7.10
broer	monnik	6.27
knaap	broer	4.46
reis	wagen	5.85
monnik	orakel	5.00
begraafplaats	bosland	2.08
eten	haan	4.42
kust heuvel	4.38
bos	begraafplaats	1.85
kust	bos	3.08
monnik	slaaf	0.92
kust	bos	3.15
jongen	tovenaar	0.92
snaar	lach	0.54
glas	tovenaar	2.08
middag	draad	0.54
haan	reis	0.62
geld	dollar	8.42
geld	cash	9.08
geld valuta	9.04
geld	welvaart	8.27
geld	eigendom	7.57
geld	bezit	7.29
geld	bank	8.50
geld	storting	7.73
geld	opnemen	6.88
geld	witwassen	5.65
geld	operatie	3.31
